id ra dec zphot zspec f770w f1800w mstar_gal mstar_gal_l68 mstar_gal_u68 av_gal_1 av_gal_1_l68 av_gal_1_u68 av_gal_2 av_gal_2_l68 av_gal_2_u68 logLbol logLbol_l68 logLbol_u68 av_agn av_agn_l68 av_agn_u68 fhd fhd_l68 fhd_u68 mstar_hybrid mstar_hybrid_l68 mstar_hybrid_u68 av_hybrid av_hybrid_l68 av_hybrid_u68
UDS-149541 34.228539 -5.10148 6.61 -1.0 25.12 -23.17 10.22 10.15 10.29 0.0 0.0 0.0 3.3 3.14 3.46 45.89 45.8 45.99 3.49 3.28 3.7 0.1261 0.0447 0.214 7.44 5.21 7.95 0.63 0.18 1.21
UDS-150414 34.281453 -5.102834 5.2 -1.0 26.18 -23.67 9.71 9.56 9.81 0.0 0.0 0.0 3.03 2.78 3.28 45.31 45.18 45.46 3.32 2.98 3.69 0.1409 0.0427 0.29 6.49 4.06 7.64 0.78 0.26 1.27
UDS-151980 34.422908 -5.104757 10.48 -1.0 27.12 -23.23 9.48 9.27 9.65 0.0 0.0 0.0 1.5 1.25 1.74 45.39 45.16 45.63 1.84 1.46 2.27 0.6602 0.2094 1.2051 8.46 8.1 8.83 0.54 0.18 0.99
UDS-152026 34.269194 -5.105731 7.42 -1.0 25.26 -23.24 9.6 9.44 9.77 0.22 0.07 0.44 3.21 2.96 3.44 46.04 45.93 46.14 3.68 3.43 3.93 0.1235 0.0445 0.2248 7.43 7.3 7.63 0.17 0.05 0.35
UDS-152826 34.218441 -5.107111 7.03 -1.0 24.69 -23.31 10.66 10.55 10.76 0.54 0.23 0.94 4.46 4.26 4.81 46.21 46.11 46.3 3.71 3.45 3.96 0.0423 0.0132 0.0778 8.37 8.08 8.58 0.16 0.05 0.33
UDS-153498 34.434424 -5.108764 7.0 -1.0 25.89 -23.37 10.57 10.48 10.62 1.14 0.78 1.48 6.83 6.61 6.95 45.38 45.19 45.58 3.86 3.38 4.35 0.6001 0.2427 1.098 7.64 7.32 7.93 0.4 0.13 0.84
UDS-158644 34.372364 -5.115915 7.48 -1.0 25.02 -22.96 10.85 10.73 10.95 1.88 1.71 1.96 6.27 5.92 6.58 46.21 46.14 46.28 3.8 3.63 3.99 0.108 0.035 0.1997 7.95 7.58 8.2 0.28 0.09 0.52
UDS-159206 34.439668 -5.117357 7.9 -1.0 25.85 -23.4 10.74 10.7 10.77 1.12 1.0 1.26 6.07 5.8 6.38 45.81 45.69 45.93 3.09 2.82 3.38 0.2182 0.0739 0.4031 8.19 7.85 8.39 0.2 0.06 0.38
UDS-161988 34.447128 -5.123007 6.94 -1.0 24.54 -23.26 10.6 10.55 10.65 0.37 0.13 0.64 4.0 3.84 4.18 46.22 46.15 46.3 3.58 3.39 3.78 0.0386 0.0104 0.0732 8.41 8.04 8.61 0.13 0.04 0.29
UDS-165865 34.429471 -5.128854 5.2 -1.0 25.68 -22.76 9.75 9.6 9.88 0.27 0.08 0.55 3.73 3.3 4.07 45.28 45.13 45.44 3.5 3.09 3.94 0.6547 0.3089 1.0098 7.64 7.22 7.91 0.19 0.06 0.39
UDS-170710 34.397467 -5.135125 7.6 -1.0 24.47 -23.49 10.51 10.42 10.57 0.0 0.0 0.0 3.39 3.3 3.49 46.5 46.47 46.52 3.87 3.75 4.0 0.0035 0.0009 0.0084 9.16 8.88 9.28 1.4 1.19 1.48
UDS-173887 34.238463 -5.140396 10.0 -1.0 25.44 -23.12 9.94 9.82 10.04 0.0 0.0 0.0 1.81 1.65 1.96 46.02 45.91 46.13 2.6 2.39 2.82 0.5125 0.1759 0.9326 8.74 8.41 8.94 0.48 0.23 0.78
